,Disagreement|x,Disagreement|y,Disagreement|y_std
0,192,0.10524662268300346,0.0035544167448899643
1,384,0.08953817153628651,0.005046301729251968
2,768,0.09110901665095822,0.005567089270081481
3,1536,0.08671065032987747,0.008144191892438405
4,3072,0.08576814326107446,0.001539107598355748
